Id,year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1,1978,1,4,1,1,1689,1859,attached,508,0,TRUE,FALSE,TRUE,TRUE,42670,Lopez Crossing,,Hallfort,10907,270897
2,1958,1,3,1,1,1984,2002,attached,462,0,TRUE,FALSE,TRUE,TRUE,5194,Gardner Park,,Hallfort,10907,302404
3,2002,1,3,2,0,1581,1578,none,0,625,FALSE,FALSE,TRUE,TRUE,4366,Harding Islands,,Lake Christinaport,11203,2519996
4,2004,1,4,2,0,1829,2277,attached,479,0,TRUE,FALSE,TRUE,TRUE,3302,Michelle Highway,,Lake Christinaport,11203,197193
5,2006,1,4,2,0,1580,1749,attached,430,0,TRUE,FALSE,TRUE,TRUE,582,Jacob Cape,,Lake Christinaport,11203,207897
6,2005,1,3,2,0,1621,1672,attached,430,0,TRUE,FALSE,TRUE,TRUE,78445,Michelle Highway,,Lake Christinaport,11203,196559
7,1979,1,3,2,1,2285,2365,detached,532,0,TRUE,FALSE,TRUE,TRUE,246,Harris Estates,,Morrisport,10924,434697
8,1958,1,5,2,0,1745,1741,none,0,0,FALSE,FALSE,FALSE,FALSE,35725,Jessica Isle,,Lake Christinaport,11203,64887
9,1958,1,5,2,0,1747,1745,none,0,0,FALSE,FALSE,FALSE,FALSE,35725,Jessica Isle,,Lake Christinaport,11203,143636
10,1961,1,1,1,0,998,1161,none,0,242,FALSE,FALSE,FALSE,FALSE,73327,Kurt Crescent,,Lake Christinaport,11203,81896
11,2005,1,4,4,0,2020,2254,attached,502,0,TRUE,FALSE,TRUE,TRUE,3522,Dana Bridge,,Lake Christinaport,11203,308701
12,2006,1,4,2,1,2517,2679,attached,624,0,TRUE,FALSE,TRUE,TRUE,1956,Perez Mount,,Lake Christinaport,11203,333904
13,2003,1,3,1,1,1835,2000,attached,428,0,TRUE,FALSE,TRUE,TRUE,829,Candice Skyway,,Lake Christinaport,11203,277197
14,2004,1,4,2,1,2112,2197,attached,397,0,TRUE,TRUE,TRUE,TRUE,55409,Wright Mills,,Lake Christinaport,11203,351537
15,2007,1,3,3,0,2174,2426,attached,508,0,TRUE,FALSE,TRUE,TRUE,867,Reyes Radial,,Lake Christinaport,11203,274681
16,2007,1,3,3,0,2169,2434,attached,509,0,TRUE,FALSE,TRUE,TRUE,719,James Motorway,,Lake Christinaport,11203,289801
